Singer,Gender,Type
AGA,F,solo
Beyond,M,group
C AllStar,M,group
COLLAR,F,group
Dear Jane,M,group
ERROR,M,group
G.E.M.,F,solo
Gareth.T,M,solo
Gin Lee,F,solo
Gordon Flanders,M,solo
JACE陳凱詠,F,solo
JUDE,F,solo
JW王灝兒,F,solo
KOLOR,M,group
Kiri T,F,solo
Lolly Talk,F,group
MC $oHo & KidNey ft. Kayan9896,M,group
MC 張天賦,M,solo
MIRROR,M,group
Nancy Kwai,F,solo
Raidas,M,group
RubberBand,M,group
Serrini,F,solo
Supper Moment,M,group
The Hertz,M,group
ToNick,M,group
Twins,F,group
moon tang,F,solo
何韻詩,F,solo
倫永亮、李國祥,M,duet
側田,M,solo
劉德華,M,solo
劉德華、吳婉芳,MF,duet
劉德華、鄭秀文,MF,duet
劉浩龍,M,solo
劉美君,F,solo
古巨基,M,solo
吳林峰,M,solo
吳林峰、謝芊彤,MF,duet
吳業坤,M,solo
吳浩康,M,solo
吳若希,F,solo
吳雨霏,F,solo
呂方,M,solo
呂爵安,M,solo
呂爵安、盧瀚霆,M,duet
呂爵安、邱鋒澤,M,duet
周國賢,M,solo
周慧敏,F,solo
周柏豪,M,solo
周柏豪、鄭融,MF,duet
周殷廷,M,solo
周華健,M,solo
夏韶聲,M,solo
太極,M,group
姜濤,M,solo
孫耀威,M,solo
容祖兒,F,solo
小肥,M,solo
尹光,M,solo
岑寧兒,F,solo
巫啟賢,M,solo
布志綸,M,solo
張國榮,M,solo
張國榮、許冠傑,M,duet
張國榮、陳潔靈,MF,duet
張學友,M,solo
張學友、湯寶如,MF,duet
張學友、鄺美雲,MF,duet
張敬軒,M,solo
張智霖,M,solo
張智霖、許秋怡,MF,duet
張柏芝,F,solo
張立基,M,solo
彭羚,F,solo
彭羚、黃耀明,MF,duet
方力申,M,solo
方力申、鄧麗欣,MF,duet
方季惟,F,solo
方皓玟,F,solo
方皓玟、RubberBand,MF,group
晚安莉莉,F,group
曾比特,M,solo
李克勤,M,solo
李克勤、陳慧琳,MF,duet
李克勤、黃伊汶,MF,duet
李幸倪,F,solo
李樂詩,F,solo
李治廷,M,solo
李蕙敏,F,solo
杜德偉,M,solo
林二汶,F,solo
林保怡、陳豪、黃德斌,M,group
林奕匡,M,solo
林奕匡、葉巧琳、黃妍,MF,group
林子祥,M,solo
林家謙,M,solo
林峯,M,solo
林憶蓮,F,solo
林憶蓮、王傑,MF,duet
林欣彤,F,solo
林海峰,M,solo
林漢洋、小雪,MF,duet
柳應廷,M,solo
梁漢文,M,solo
梁詠琪,F,solo
梁釗峰,M,solo
梅艷芳,F,solo
梅艷芳、張國榮,MF,duet
楊千嬅,F,solo
沈震軒,M,solo
泳兒,F,solo
洪卓立,M,solo
洪嘉豪,M,solo
溫兆倫,M,solo
溫拿,M,group
炎明熹,F,solo
王傑,M,solo
王菀之,F,solo
王菲,F,solo
盧冠廷,M,solo
盧巧音,F,solo
盧瀚霆,M,solo
羅力威、容祖兒,MF,duet
羅大佑、蔣志光,M,duet
羅文,M,solo
胡鴻鈞,M,solo
草蜢,M,group
莫文蔚,F,solo
菊梓喬,F,solo
葉巧琳,F,solo
葉德嫻、陳潔靈,F,duet
葉蒨文,F,solo
葉蒨文、杜德偉,MF,duet
蔡卓妍,F,solo
蔡楓華,M,solo
蔣志光、韋綺姍,MF,duet
薛凱琪,F,solo
蘇永康,M,solo
蘇芮,F,solo
衛蘭,F,solo
衛蘭、JW,F,duet
袁鳳瑛,F,solo
許冠傑,M,solo
許廷鏗,M,solo
許志安,M,solo
許志安、梅艷芳,MF,duet
許志安、葉德嫻,MF,duet
許志安、車婉婉,MF,duet
許志安、鄭秀文,MF,duet
許美靜,F,solo
許靖韻 & 林奕匡,MF,duet
謝安琪,F,solo
謝霆鋒,M,solo
譚嘉儀,F,solo
譚詠麟,M,solo
趙學而,F,solo
軟硬天師,M,group
農夫,M,group
連詩雅,F,solo
達明一派,M,group
郭富城,M,solo
郭小霖,M,solo
鄧小巧,F,solo
鄧麗欣,F,solo
鄭中基,M,solo
鄭伊健,M,solo
鄭俊弘,M,solo
鄭欣宜,F,solo
鄭秀文,F,solo
鄭融,F,solo
鍾嘉欣,F,solo
鍾舒漫,F,solo
閻奕格,F,solo
關心妍,F,solo
關智斌,M,solo
關楚耀,M,solo
關楚耀、謝安琪,MF,duet
關淑怡,F,solo
關菊英,F,solo
陳健安,M,solo
陳僖儀,F,solo
陳卓賢,M,solo
陳奕迅,M,solo
陳小春,M,solo
陳慧嫻,F,solo
陳慧珊,F,solo
陳慧琳,F,solo
陳曉東,M,solo
陳柏宇,M,solo
陳百強,M,solo
陳蕾,F,solo
雲浩影,F,solo
馮允謙,M,solo
魏浚笙,M,solo
麥浚龍,M,solo
麥浚龍、倫永亮,M,duet
麥浚龍、周國賢,M,duet
麥浚龍、莫文蔚,MF,duet
麥浚龍、謝安琪,MF,duet
麥浚龍、黎明,M,duet
黃凱芹,M,solo
黃淑蔓,F,solo
黃耀明,M,solo
黎明,M,solo
黎瑞恩,F,solo
